,environment_short,environment_full,unambiguous_direct,unambiguous_indirect,ambiguity_type,amb_shortlist,ambiguous_task,question,answer,plan_for_clear_task,plan_for_amb_task,end_of_ambiguity,user_intent,variants,variants_best
133,"porcelain cup, beer mug, ceramic mug, glass mug, plastic cup, paper cup, glass, metal bowl, plastic bowl, ceramic bowl, vegetable peeler, potato masher, energy bar, mixed fruit jam, sunflower oil, olive oil, strawberry yogurt cup, greek yogurt cup, bottled milk, butter, salt, black pepper","a porcelain cup, a beer mug, a ceramic mug, a glass mug, a plastic cup, a paper cup, a glass, a metal bowl, a plastic bowl, a ceramic bowl, a vegetable peeler, a potato masher, an energy bar, mixed fruit jam, sunflower oil, olive oil, a strawberry yogurt cup, a greek yogurt cup, bottled milk, butter, salt, black pepper","Robot, please make mashed potatoes by boiling the peeled and diced potatoes in salted water, draining them, and mashing them with milk, butter, salt, and pepper to taste.","Hey kitchen robot, can you prepare mashed potatoes by cooking the peeled and chopped potatoes in salted water, straining them, and mashing them with milk, butter, salt, and pepper to your liking?",common_sense_knowledge,,"Robot, please prepare mashed potatoes by cooking the peeled and chopped potatoes in salted water, straining them, and mashing them with milk, butter, salt, and pepper to your liking.","Should I use each of the following ingridients: milk, butter, salt, and pepper?",Use either of them.,"1. Fill the metal bowl with water and add salt to boil the peeled and diced potatoes.
2. While the potatoes are boiling, gather the milk, butter, salt, and pepper.
3. Drain the boiled potatoes once they are soft enough to mash.
4. Mash the potatoes in a ceramic bowl using a potato masher.
5. Add milk, butter, salt, and pepper to taste while mashing until desired consistency is reached.
6. Serve the mashed potatoes in a ceramic bowl for consumption.","1. Cook the peeled and chopped potatoes in salted water in a metal bowl.
2. While the potatoes are cooking, gather the milk, butter, salt, and pepper.
3. Strain the cooked potatoes once they are soft enough to mash.
4. Mash the potatoes in a ceramic bowl using a potato masher.
5. Add milk, butter, salt, and pepper to your liking while mashing until desired consistency is reached.
6. Serve the mashed potatoes in a ceramic bowl for consumption.",0,"sure i would like a cup of coffee with two sugars and a splash of milk

robot instruction please prepare a cup of coffee with two sugars and a splash of milk",A) Boil the potatoes in salted water in a metal bowl,"A) use salt to cook the peeled and chopped potatoes in salted water in a metal bowl
B) use butter to cook the peeled and chopped potatoes in salted water in a metal bowl"
74,"garlic press, coffee machine, grater, bottle of white wine, bottle of red wine, greek yogurt cup, strawberry yogurt cup, vanilla yogurt cup, rice chips, jalapeno chips","a garlic press, a coffee machine, a grater, a bottle of white wine, a bottle of red wine, a greek yogurt cup, a strawberry yogurt cup, a vanilla yogurt cup, rice chips, jalapeno chips","Kitchen Robot, please use the garlic press to mince 2 cloves of garlic. In a small bowl, combine the minced garlic, 1/4 cup of olive oil, and 1/4 teaspoon of salt. Use a pastry brush to coat the top of a baguette with the garlic oil. Place the baguette in the oven and bake at 375 degrees for 10-12 minutes, or until it is golden brown and crispy. ","Hey kitchen assistant, can you use the garlic press to crush 2 cloves of garlic? Mix the crushed garlic with 1/4 cup of olive oil and a pinch of salt in a small bowl. Brush the garlic oil onto the top of a baguette using a pastry brush. Put the baguette in the oven and bake at 375 degrees for 10-12 minutes until it's crispy and golden brown.",preferences,,"Kitchen Robot, please use the garlic press to mince 2 cloves of garlic.",Where should I place the minced garlic after using the press?,In a small bowl with olive oil and salt.,"1. Use the garlic press to mince 2 cloves of garlic.
2. Combine the minced garlic, 1/4 cup of olive oil, and 1/4 teaspoon of salt in a small bowl.
3. Use a pastry brush to coat the top of a baguette with the garlic oil mixture.
4. Place the baguette in the oven and bake at 375 degrees for 10-12 minutes, or until golden brown and crispy.",1. Use the garlic press to mince 2 cloves of garlic.,0,mix olive oil and salt in a small bowl,A) Use the garlic press to mince 2 cloves of garlic.,"A) place the minced garlic in a plastic food storage container
B) place the minced garlic in a glass food storage container"
350,"plastic food storage container, glass food storage container, porcelain cup, beer mug, ceramic mug, glass mug, plastic cup, paper cup, glass, clean sponge, dirty sponge, dish soap, coconut oil, sunflower oil, olive oil, mussels, salmon, sardines, shrimps, oysters, seaweed, bleuberries, blackberries, pumpkin pie, cream pie, shepherd's pie, apple pie, donuts","a plastic food storage container, a glass food storage container, a porcelain cup, a beer mug, a ceramic mug, a glass mug, a plastic cup, a paper cup, a galss, a clean sponge, a dirty sponge, a dish soap, coconut oil, sunflower oil, olive oil, mussels, a salmon, sardines, shrimps, oysters, a seaweed, bleuberries, blackberries, pumpkin pie, cream pie, shepherd's pie, apple pie, donuts","Create a diverse dessert platter featuring cakes, donuts, and fresh fruit.
Here's how the kitchen robot might execute this task:
Begin by organizing the cakes and donuts on the kitchen table, arranging them in an appealing display.
Use the plastic and glass food storage containers to store any leftover cakes and donuts to maintain their freshness.
Rinse the red and green seedless grapes under cold water and pat them dry with paper towels.
Arrange the grapes neatly on a clean dish rack, creating an attractive contrast to the cakes and donuts.
Place the chicken nuggets, buffalo wing, and chicken balls in the fridge for later consumption or as savory options to complement the dessert platter.
Optionally, garnish the dessert platter with mint leaves or edible flowers for an extra touch of elegance.
Once everything is prepared and arranged, the kitchen robot can notify the residents that the dessert platter is ready to enjoy.","Kitchen robot, please create a varied dessert platter with pastries, sweet treats, and fresh fruit. Display the cakes and donuts on the kitchen table in an appealing manner. Store any extra pastries in the plastic and glass food containers to keep them fresh. Wash and dry the seedless grapes before arranging them on a clean dish rack next to the desserts. Place the savory snacks like chicken nuggets and buffalo wings in the fridge for later enjoyment. Consider adding mint leaves or edible flowers as a decorative touch to the dessert platter. Once everything is ready, inform the residents that they can now enjoy their dessert platter.",preferences," pumpkin pie, cream pie, shepherd's pie, apple pie, donuts",Prepare a variety of sweet treats with baked goods and fruits.,What specific baked goods should be included in the sweet treats?,Pies and donuts.,"1. Organize the cakes and donuts on the kitchen table in an appealing display.
2. Use the plastic and glass food storage containers to store any leftover cakes and donuts.
3. Rinse the red and green seedless grapes under cold water and pat them dry with paper towels.
4. Arrange the grapes neatly on a clean dish rack for contrast.
5. Place the chicken nuggets, buffalo wing, and chicken balls in the fridge for later consumption or as savory options.
6. Optionally garnish the dessert platter with mint leaves or edible flowers for an extra touch of elegance.
7. Notify residents that the dessert platter is ready to enjoy.","1. Begin by organizing the baked goods and fruits on the kitchen table in an appealing display.
2. Use the plastic and glass food storage containers to store any leftover treats.
3. Rinse the fruits under cold water and pat them dry with paper towels.
4. Arrange the fruits neatly on a clean dish rack for contrast.
5. Place any savory options in the fridge for later consumption or to complement the sweet treats.
6. Optionally garnish the platter with mint leaves or edible flowers for an extra touch of elegance.
7. Notify residents that a variety of sweet treats is ready to enjoy.",0,make pies and donuts,"A) arrange the blueberries, blackberries, pumpkin pie, cream pie, shepherd's pie, apple pie and donuts on the kitchen table in an appealing display.","A) include pumpkin pie in the sweet treats display
B) include cream pie in the sweet treats display
C) include apple pie in the sweet treats display"
16,"bottle opener, clean sponge, dirty sponge, dish soap, jalapeno chips, rice chips, sunflower oil, olive oil, muesli, cornflakes, mozarella sticks, cottage cheese","a bottle opener, a clean sponge, a dirty sponge, a dish soap, jalapeno chips, rice chips, sunflower oil, olive oil, muesli, cornflakes, mozarella sticks, cottage cheese","Kitchen Robot, please heat up some water in the tea kettle and while it's heating, take the clean sponge, apply some dish soap to it, and clean the kitchen table.","Robot, please heat up water in the tea kettle and while it's heating, grab the fresh sponge, add some dish soap to it, and wipe down the kitchen table.",safety,"microwave, tea kettle","Kitchen Robot, please heat up some water and while it's heating, take the clean sponge, apply some dish soap to it, and clean the kitchen table.",Should I use the microwave or the stove to heat up the water in the tea kettle?,You should use the stove to heat up water in a tea kettle. Microwaving water can be dangerous as it can superheat and explode.,"1. Heat up water in the tea kettle
2. Take the clean sponge and apply dish soap to it
3. Clean the kitchen table","1. Heat up water
2. Take the clean sponge and apply dish soap to it
3. Clean the kitchen table",0,use the stove to heat up water in a tea kettle as microwaving water can be dangerous and cause it to superheat and explode,"A) Fill the tea kettle with water
B) Place the tea kettle on the stove
C) Turn on the stove to heat up the water","A) use the stove to heat up the water in the tea kettle
B) use the microwave to heat up the water in the tea kettle"
206,"bottle opener, garlic press, mixer, muesli, cornflakes, bottle of white wine, bottle of red wine, beer can, RedBull can, bottled iced tea, Coka-Cola can, carrot, potato, bell pepper, onion, cucumber, cabbage, garlic, black pepper, tomato, granulated sugar, sea salt","a bottle opener, a garlic press, a mixer, muesli, cornflakes, a bottle of white wine, a bottle of red wine, a beer can, a RedBull can, bottled iced tea, a Coka-Cola can, a carrot, a potato, a bell pepper, an onion, a cucumber, a cabbage, a garlic, a black pepper, a tomato, granulated sugar, sea salt","Robot, please use the mixer to blend together a cup of muesli, a cup of cornflakes, a chopped carrot, a chopped potato, a chopped bell pepper, a chopped onion, a chopped cucumber, a chopped cabbage, a minced garlic clove, a teaspoon of granulated sugar, and a teaspoon of sea salt to make a vegetable and cereal smoothie.","Hey kitchen robot, could you please use the blender to mix together a cup of muesli, a cup of cornflakes, a chopped carrot, a chopped potato, a chopped bell pepper, a chopped onion, a chopped cucumber, a chopped cabbage, minced garlic clove, teaspoon of granulated sugar and teaspoon of sea salt to create a vegetable and cereal smoothie?",preferences,"add, do not add","Robot, please use the mixer to blend together a cup of muesli, a cup of cornflakes, a chopped carrot, a chopped potato, a chopped bell pepper, a chopped onion, a chopped cucumber, a chopped cabbage, minced garlic clove, granulated sugar and sea salt to make vegetable and cereal smoothie.",Should I add the black pepper and tomato to the smoothie as well?,Add a pinch of black pepper to a smoothie,"1. Gather the cup of muesli, cup of cornflakes, chopped carrot, chopped potato, chopped bell pepper, chopped onion, chopped cucumber, chopped cabbage, minced garlic clove, teaspoon of granulated sugar and teaspoon of sea salt.
2. Place all ingredients into the mixer.
3. Blend the ingredients together until smooth.
4. Pour the vegetable and cereal smoothie into a glass.
5. Serve and enjoy!","1. Gather the cup of muesli, cup of cornflakes, chopped carrot, chopped potato, chopped bell pepper, chopped onion, chopped cucumber, chopped cabbage, minced garlic clove, granulated sugar and sea salt.
2. Place all ingredients into the mixer.
3. Blend the ingredients together until smooth.
4. Pour the vegetable and cereal smoothie into a glass.
5. Serve and enjoy!",0,incorporate a pinch of black pepper into the smoothie,"A) gather the cup of muesli
B) gather the cup of cornflakes
C) gather the chopped carrot
D) gather the chopped potato
E) gather the chopped bell pepper
F) gather the chopped onion
G) gather the chopped cucumber
H) gather the chopped cabbage
I) gather minced garlic clove 
J) gather granulated sugar 
K) gather sea salt","A) add the black pepper and tomato to the smoothie
B) do not add the black pepper and tomato to the smoothie"
260,"ladle, frying pan, grill pan, sauce pan, kitchen towel, almond milk chocolate tablet, milk chocolate tablet, dark chocolate tablet, granulated sugar, sea salt, bottle of white wine, bottle of red wine, canned corn, canned beans, canned green peas, canned olives","a ladle, a frying pan, a grill pan, a sauce pan, a kitchen towel, an almond milk chocolate tablet, a milk chocolate tablet, a dark chocolate tablet, granulated sugar, sea salt, a bottle of white wine, a bottle of red wine, canned corn, canned beans, canned green peas, canned olives","Head up the frying pan on the stove, and then add the candy corn to the pin to sauté.","Robot, please heat up the skillet on the stove, and then add the canned corn to the pan to sauté.",preferences,"canned corn, canned beans, canned green peas, canned olives","Heat up the frying pan on the stove, and then add the corn to the pan to sauté.",Which type of canned corn should be added to the frying pan?,The canned corn.,"1. Heat up the frying pan on the stove
2. Add the canned corn to the pan to sauté
3. While the corn is cooking, chop up some of the canned olives
4. Once the corn is cooked, add in the chopped olives and stir together
5. Season with a pinch of sea salt and a sprinkle of granulated sugar for flavor
6. Serve as a side dish or topping for a salad or main course","1. Heat up the frying pan on the stove
2. Add the corn to the pan to sauté
3. While the corn is cooking, chop up some of the canned olives
4. Once the corn is cooked, add in the chopped olives and stir together
5. Season with a pinch of sea salt and a sprinkle of granulated sugar for flavor
6. Serve as a side dish or topping for a salad or main course",1,use the canned corn,A) add the canned corn to the frying pan,"A) add canned corn to the frying pan
B) add canned beans to the frying pan
C) add canned green peas to the frying pan"
319,"grater, garlic press, spatula, frozen mushroom pizza, frozen vegetable pizza, frozen sausage pizza, frozen cheese pizza, frozen pepperoni pizza, cheesecake, vanilla cake, strawberry cake, black tea bags, green tea bags","a grater, a garlic press, a spatula, frozen mushroom pizza, frozen vegetable pizza, frozen sausage pizza, frozen cheese pizza, frozen pepperoni pizza, a cheesecake, a vanilla cake, a strawberry cake, black tea bags, green tea bags","Use the grater to carefully and efficiently grate a cup of mozzarella cheese and a cup of cheddar cheese. In a small bowl, mix together a tablespoon of olive oil, a tablespoon of minced garlic, and a teaspoon of dried basil. In a large bowl, mix together the grated mozzarella cheese, the grated cheddar cheese, and the olive oil and garlic mixture. Use the spatula to spread the cheese and garlic mixture evenly on top of a frozen mushroom pizza. Bake the pizza in the oven at 450°F (230°C) for 10-12 minutes or until the cheese is melted and bubbly and the crust is golden brown and crispy. Serve the pizza with a cup of hot black tea or green tea for a delicious and satisfying meal.","Robot, please grate a cup of mozzarella cheese and a cup of cheddar cheese using the grater. In a small bowl, combine a tablespoon of olive oil, minced garlic, and dried basil. In a large bowl, mix the grated cheeses with the olive oil and garlic mixture. Spread the cheese mixture evenly on top of the frozen mushroom pizza using the spatula. Bake the pizza in the oven at 450°F for 10-12 minutes until the cheese is melted and bubbly and the crust is golden brown and crispy. Serve with hot black or green tea for a delicious meal.",common_sense_knowledge,,"Grate a cup of mozzarella cheese and a cup of cheddar cheese. Mix with olive oil, garlic, and basil. Spread on top of a frozen mushroom pizza and bake at 450°F for 10-12 minutes until melted. Serve with hot tea.",What tool do I use to grate cheese?,Use grater,"1. Grate a cup of mozzarella cheese and a cup of cheddar cheese using the grater.
2. Mix together a tablespoon of olive oil, a tablespoon of minced garlic, and a teaspoon of dried basil in a small bowl.
3. In a large bowl, mix together the grated mozzarella cheese, the grated cheddar cheese, and the olive oil and garlic mixture using the spatula.
4. Spread the cheese and garlic mixture evenly on top of a frozen mushroom pizza with the spatula.
5. Preheat the oven to 450°F (230°C).
6. Bake the pizza in the oven for 10-12 minutes or until the cheese is melted and bubbly and crust is golden brown and crispy.
7. Serve with hot black tea or green tea for a delicious meal.","1. Grate a cup of mozzarella cheese and a cup of cheddar cheese using the grater.
2. Mix together the grated cheeses with olive oil, minced garlic, and dried basil in a bowl.
3. Spread the cheese mixture on top of a frozen mushroom pizza.
4. Preheat the oven to 450°F (230°C).
5. Bake the pizza in the oven for 10-12 minutes or until the cheese is melted.
6. Serve with hot tea for a delicious meal.",1,use the grater to shred the cheese into small pieces,"A) Mix together the grated cheeses with olive oil, minced garlic, and dried basil in a bowl.","A) use the grater to grate cheese
B) use the paring knife to grate cheese"
95,"shears, paper towels, potato, red bell pepper, purple bell pepper, yellow bell pepper, tomato, garlic, cucumber, onion, potato chips, jalapeno chips, energy bar","shears, paper towels, a potato, red bell pepper, purple bell pepper, yellow bell pepper, a tomato, a garlic, a cucumber, an onion, potato chips, jalapeno chips, an energy bar","Kitchen Robot, please use the shears to carefully cut the top off of the red bell pepper. Remove the seeds and stem, then dice the pepper into small pieces. Place the diced pepper in a serving bowl.","Dear kitchen assistant, please utilize the shears to precisely remove the top of the red bell pepper. Discard the seeds and stem, then chop the pepper into small cubes. Transfer the diced pepper into a bowl for serving. Thank you!",preferences," red bell pepper, purple bell pepper, yellow bell pepper","Kitchen Robot, please use the shears to carefully cut the top off of the bell pepper. Remove the seeds and stem, then dice the pepper into small pieces. Place the diced pepper in a serving bowl.",Which specific bell pepper should be used for this task?,The red bell pepper on the kitchen table.,"1. Use the shears to cut the top off of the red bell pepper
2. Remove the seeds and stem from the red bell pepper
3. Dice the red bell pepper into small pieces
4. Place the diced red bell pepper in a serving bowl","1. Use the shears to cut the top off of the bell pepper
2. Remove the seeds and stem from the bell pepper
3. Dice the bell pepper into small pieces
4. Place the diced bell pepper in a serving bowl",0,chop the red bell pepper on the kitchen table,"A) Use the shears to cut the top off of the red bell pepper
B) Use the shears to cut the top off of the purple bell pepper
C) Use the shears to cut the top off of the yellow bell pepper","A) use the red bell pepper for this task
B) use the purple bell pepper for this task
C) use the yellow bell pepper for this task"
421,"plastic food storage container, glass food storage container, spatula, paper towels, eggs, uncut white bread, cutting board, toasted bread, garlic, bell pepper, green onion, coffee beans, coffee machine, rice chips, potato chips, paper towels","a plastic food storage container, a glass food storage container, a spatula, paper towels, eggs, uncut white bread, a cutting board, toasted bread, a garlic, a bell pepper, a green onion, coffee beans, a coffee machine, rice chips, potato chips, paper towels",Clean the kitchen counter using the paper towels and the sink.,"Robot, please use the paper towels and the sink to tidy up the kitchen counter.",preferences,,Clean the kitchen counter using the paper towels and the sink.,Which specific area of the kitchen counter should be cleaned?,The area next to the microwave.,"1. Clean the kitchen counter using the paper towels and the sink.
2. Put away any leftover food in the plastic or glass food storage containers.
3. Wash any dishes in the dishwasher.
4. Cut up the bell pepper, garlic, and green onion for a stir fry dish.
5. Toast some bread for a sandwich.
6. Brew a pot of coffee using the coffee machine.
7. Enjoy a snack of rice chips or potato chips while working on other tasks in the kitchen.","1. Clean the kitchen counter using the paper towels and the sink.
2. Put away any leftover food in the plastic or glass food storage containers.
3. Wash any dishes in the dishwasher.
4. Cut up the bell pepper, garlic, and green onion for a stir fry dish.
5. Toast some bread for a sandwich.
6. Brew a pot of coffee using the coffee machine.
7. Enjoy a snack of rice chips or potato chips while working on other tasks in the kitchen.",0,please clean the area next to the microwave,"A) Use the paper towels to clean the kitchen counter
B) Use the sink to clean the kitchen counter","A) clean the area around the sink on the kitchen counter
B) clean the area around the coffee machine on the kitchen counter"
50,"frying pan, grill pan, sauce pan, toaster, potato chips, rice chips, granulated sugar, table salt, sea salt, strawberry yogurt cup, vanilla yogurt cup, greek yogurt cup, eggs","a frying pan, a grill pan, a sauce pan, a toaster, potato chips, rice chips, granulated sugar, table salt, sea salt, a strawberry yogurt cup, a vanilla yogurt cup, a greek yogurt cup, eggs","Kitchen Robot, please take the eggs from the fridge and place them on the kitchen table.","Robot, please retrieve the eggs from the refrigerator and place them on the table in the kitchen.",preferences,,"Kitchen Robot, please take the eggs from the fridge and place them on a pan.",Which pan should I place the eggs on?,Place them on the frying pan.,"1. Take the eggs from the fridge and place them on the kitchen table.
2. Fill the tea kettle with water and turn it on to boil.
3. Prepare a frying pan on the stove for cooking eggs.
4. Crack open and cook the eggs in the frying pan.
5. While waiting for the eggs to cook, clean up any dishes or utensils in the sink or dishwasher.
6. Once the eggs are cooked, serve them on a plate at the kitchen table.
7. Enjoy a delicious breakfast!","1. Take the eggs from the fridge and place them on a pan.
2. Fill the tea kettle with water and turn it on to boil.
3. Prepare a frying pan on the stove for cooking eggs.
4. Crack open and cook the eggs in the frying pan.
5. While waiting for the eggs to cook, clean up any dishes or utensils in the sink or dishwasher.
6. Once the eggs are cooked, serve them on a plate at the kitchen table.
7. Enjoy a delicious breakfast!",0,place the ingredients on the frying pan,"A) crack the eggs into the pan and cook them
B) scramble the eggs in a bowl before cooking them
C) fry the eggs sunny side up","A) place the eggs on the frying pan
B) place the eggs on the sauce pan"
73,"oven mitts, clean sponge, dirty sponge, dish soap, frying pan, grill pan, sauce pan, cheddar cheese slices, cottage cheese, mixed fruit jam, milk chocolate tablet, dark chocolate tablet, almond milk chocolate tablet, Coka-Cola can, RedBull can, bottled water, beer can, Pepsi can, bottled iced tea, muesli, cornflakes","oven mitts, a clean sponge, a dirty sponge, a dish soap, a frying pan, a grill pan, a sauce pan, cheddar cheese slices, cottage cheese, mixed fruit jam, a milk chocolate tablet, a dark chocolate tablet, an almond milk chocolate tablet, a Coka-Cola can, a RedBull can, bottled water, a beer can, a Pepsi can, bottled iced tea, muesli, cornflakes","Kitchen Robot, please use the frying pan to melt 1 milk chocolate tablet, 1 dark chocolate tablet, and 1 almond milk chocolate tablet over low heat. Once the chocolate is melted, stir in 1 cup of mixed fruit jam. Serve the chocolate-jam mixture as a dip for the cheddar cheese slices and the cornflakes.","Robot, please use the pan to melt one milk chocolate tablet, one dark chocolate tablet, and one almond milk chocolate tablet over low heat. After the chocolates are melted, mix in one cup of mixed fruit jam. Serve the chocolate-jam mixture as a dip for the cheddar cheese slices and cornflakes.",preferences,,"Kitchen Robot, please use the frying pan to melt 1 milk chocolate tablet, 1 dark chocolate tablet, and 1 almond milk chocolate tablet over low heat. Once the chocolate is melted, stir in 1 cup of mixed fruit jam. Serve the chocolate-jam mixture as a dip for the cheddar cheese slices and the cornflakes.",Where should I serve the chocolate-jam mixture as a dip for the cheddar cheese slices and cornflakes?,Serve it on separate plates next to each other on the kitchen table.,"1. Preheat the frying pan over low heat.
2. Add the milk chocolate tablet, dark chocolate tablet, and almond milk chocolate tablet to the pan.
3. Stir occasionally until the chocolates are completely melted.
4. Once melted, stir in 1 cup of mixed fruit jam until well combined.
5. Serve the chocolate-jam mixture as a dip for the cheddar cheese slices and cornflakes.
6. Clean up any mess and wash the frying pan afterwards.","1. Preheat the frying pan over low heat.
2. Add the milk chocolate tablet, dark chocolate tablet, and almond milk chocolate tablet to the pan.
3. Stir occasionally until the chocolates are completely melted.
4. Once melted, stir in 1 cup of mixed fruit jam until well combined.
5. Serve the chocolate-jam mixture as a dip for the cheddar cheese slices and cornflakes.
6. Clean up any mess and wash the frying pan afterwards.",0,serve the food on separate plates next to each other on the kitchen table,A) Preheat the frying pan over low heat.,"A) serve the chocolate-jam mixture in a small bowl
B) serve the chocolate-jam mixture on a plate"
147,"paper towels, porcelain cup, beer mug, ceramic mug, glass mug, plastic cup, paper cup, glass, blender, mixed fruit jam, canned olives, olive oil, sunflower oil, water","paper towels, a porcelain cup, a beer mug, a ceramic mug, a glass mug, a plastic cup, a paper cup, a glass, a blender, mixed fruit jam, canned olives, olive oil, sunflower oil, water","Robot, please use the blender to blend together a cup of mixed fruit jam, a tablespoon of olive oil, and a quarter cup of water until smooth. Serve the fruit sauce in a porcelain cup.","Hey kitchen robot, could you please take the blender and mix together a cup of mixed fruit jam, a spoonful of olive oil, and a quarter cup of water until it's smooth? After that, serve the fruit sauce in the fancy porcelain cup. Thank you!",preferences,"teaspoon of oil, tablespoon of oil","Robot, please blend together a cup of mixed fruit jam with olive oil and water. Serve in a porcelain cup.",How much olive oil should be used in the fruit sauce?,A tablespoon of olive oil should be used.,"1. Gather the blender, porcelain cup, mixed fruit jam, olive oil, and water.
2. Measure out a cup of mixed fruit jam and add it to the blender.
3. Add a tablespoon of olive oil to the blender.
4. Pour in a quarter cup of water into the blender.
5. Blend all the ingredients together until smooth.
6. Pour the fruit sauce into the porcelain cup.
7. Serve the fruit sauce to whoever requested it.

Is there anything else you would like me to do?","1. Gather the blender, porcelain cup, mixed fruit jam, olive oil, and water.
2. Measure out a cup of mixed fruit jam and add it to the blender.
3. Add olive oil to the blender.
4. Pour in water into the blender.
5. Blend all the ingredients together until smooth.
6. Pour the fruit sauce into the porcelain cup.
7. Serve the fruit sauce to whoever requested it.",2,use one tablespoon of olive oil,A) Add olive oil to the blender.,"A) add a small amount of olive oil to the blender
B) add a moderate amount of olive oil to the blender"
355,"dish rack, porcelain cup, beer mug, ceramic mug, glass mug, plastic cup, paper cup, glass, strawberries, bleuberries, cherries, crackers, digestive biscuits, ginger biscuits, cookies","a dish rack, a porcelain cup, a beer mug, a ceramic mug, a glass mug, a plastic cup, a paper cup, a galss, strawberries, bleuberries, cherries, crackers, digestive biscuits, ginger biscuits, cookies",Place a serving of strawberries in the porcelain cup.,"Robot, please put some strawberries in the porcelain cup.",preferences,"porcelain cup, beer mug, ceramic mug, glass mug, plastic cup, paper cup, glass",Place a serving of strawberries in a cup.,Which cup should the robot use to place the strawberries in?,use the porcelain cup,"1. Place a serving of strawberries in the porcelain cup
2. Wash the dishes in the dishwasher
3. Put away clean dishes from the dish rack
4. Make a cup of tea using the tea kettle
5. Enjoy my tea at the kitchen table with some cookies","1. Place a serving of strawberries in a cup
2. Wash the dishes in the dishwasher
3. Put away clean dishes from the dish rack
4. Make a cup of tea using the tea kettle
5. Enjoy my tea at the kitchen table with some cookies",0,please use the porcelain cup for serving drinks,A) place strawberries in a porcelain cup,"A) use the porcelain cup to place the strawberries in
B) use the ceramic mug to place the strawberries in"
118,"metal bowl, plasric bowl, blender, whisk, canned olives, honey, muesli, cornflakes, garlic, cucumber, onion, carrot, tomato, bell pepper, potato, black pepper","a metal bowl, a plasric bowl, a blender, a whisk, canned olives, honey, muesli, cornflakes, a garlic, a cucumber, an onion, a carrot, a tomato, a bell pepper, a potato, a black pepper","Robot, please chop the onion, carrot, and bell pepper into small pieces and mix them together in a bowl to make a vegetable medley.","Dear kitchen robot, could you please dice the onion, carrot, and bell pepper into small chunks and combine them in a bowl to create a vegetable mix? Thank you!",common_sense_knowledge,,"Robot, please chop the onion, carrot, and bell pepper into small pieces and make a vegetable medley.",What should be done after chopping the vegetables?,Mix them together in a bowl to make a vegetable medley.,"1. Wash the onion, carrot, and bell pepper.
2. Peel the onion and carrot.
3. Chop the onion, carrot, and bell pepper into small pieces.
4. Mix the chopped vegetables together in a bowl to make a vegetable medley.","1. Wash the onion, carrot, and bell pepper.
2. Peel the onion and carrot.
3. Chop the onion, carrot, and bell pepper into small pieces.
4. Mix the chopped vegetables together in a bowl to make a vegetable medley.",0,mix the ingredients together in a bowl to create a vegetable medley,"A) Wash the onion
B) Wash the carrot
C) Wash the bell pepper","A) mix the chopped vegetables in a bowl
B) cook the chopped vegetables in a pan"
17,"toaster, porcelain cup, beer mug, ceramic mug, glass mug, plastic cup, paper cup, glass, plastic food storage container, glass food storage container, eggs, cheddar cheese slices, cream cheese, cottage cheese, mozarella sticks, fresh mozarella package, toasted bread, uncut white bread, sliced whole wheat bread, canned olives","a toaster, a porcelain cup, a beer mug, a ceramic mug, a glass mug, a plastic cup, a paper cup, a glass, a plastic food storage container, a glass food storage container, eggs, cheddar cheese slices, cream cheese, cottage cheese, mozarella sticks, a fresh mozarella package, toasted bread, uncut white bread, sliced whole wheat bread, canned olives","Kitchen Robot, please make a cheese and olive toast. First, take two slices of the sliced whole wheat bread, place a slice of cheddar cheese on one of them, add a few canned olives on top, then place the second slice of bread on top, and finally toast it in the toaster until the cheese is melted.","Robot, please prepare a cheese and olive toast. Take two slices of whole wheat bread, place cheddar cheese on one slice, add canned olives on top, then cover with the second slice of bread. Toast in the toaster until the cheese is melted. Thank you!",preferences,"toasted bread, uncut white bread, sliced whole wheat bread","Kitchen Robot, please make a cheese and olive toast. First, take two slices of the bread, place a slice of cheddar cheese on one of them, add a few canned olives on top, then place the second slice of bread on top, and finally toast it in the toaster until the cheese is melted.",Which type of bread should be used for making the cheese and olive toast?,Sliced whole wheat bread.,"1. Take two slices of sliced whole wheat bread
2. Place a slice of cheddar cheese on one slice of bread
3. Add a few canned olives on top of the cheese
4. Place the second slice of bread on top to make a sandwich
5. Toast the sandwich in the toaster until the cheese is melted","1. Take two slices of bread
2. Place a slice of cheddar cheese on one slice of bread
3. Add a few canned olives on top of the cheese
4. Place the second slice of bread on top to make a sandwich
5. Toast the sandwich in the toaster until the cheese is melted",0,please slice the whole wheat bread,A) pick up two slices of bread from the kitchen,"A) use the toasted bread for making the cheese and olive toast
B) use the sliced whole wheat bread for making the cheese and olive toast"
