,environment_short,environment_full,unambiguous_direct,unambiguous_indirect,ambiguity_type,amb_shortlist,ambiguous_task,question,answer,plan_for_clear_task,plan_for_amb_task,end_of_ambiguity,user_intent,variants,variants_best
228,"toaster, clean sponge, dirty sponge, dish soap, ladle, energy bar, almond milk chocolate tablet, dark chocolate tablet, milk chocolate tablet, glass milk bottle, oat milk bottle, mayonnaise, ketchup, tomato paste","a toaster, a clean sponge, a dirty sponge, a dish soap, a ladle, an energy bar, an almond milk chocolate tablet, a dark chocolate tablet, a milk chocolate tablet, a glass milk bottle, an oat milk bottle, mayonnaise, ketchup, tomato paste","Robot, please use the toaster to make a quick and easy chocolate-covered energy bar. Use an energy bar and a dark chocolate tablet. Melt the chocolate tablet in the microwave (if available in the kitchen) or in a saucepan on the stove. Dip the energy bar in the melted chocolate until it is fully coated. Place the chocolate-covered energy bar on a plate and let it cool in the fridge for a few minutes.","Kitchen robot, please prepare a chocolate-covered energy bar using the toaster. Utilize a dark chocolate tablet and an energy bar. Melt the chocolate tablet in the microwave or on the stove. Dip the energy bar into the melted chocolate until fully coated. Place the chocolate-covered energy bar on a plate and allow it to cool in the fridge for a few minutes.",common_sense_knowledge,,"Robot, please use the toaster to make a quick and easy chocolate-covered energy bar. Use an energy bar and a dark chocolate tablet. Melt the chocolate tablet in the microwave (if available in the kitchen) or in a saucepan on the stove. Dip the energy bar in the melted chocolate until it is fully coated. Place the chocolate-covered energy bar on a plate and let it cool in the fridge for a few minutes.
",Should I use almond milk or oat milk to melt with dark chocolate for coating?,"You should use dark chocolate only for coating, not almond milk or oat milk","1. Check if there is a microwave available in the kitchen to melt the dark chocolate tablet.
2. If there is no microwave, use a saucepan on the stove to melt the dark chocolate tablet.
3. While melting the chocolate, prepare the energy bar by unwrapping it and getting it ready for dipping.
4. Once the dark chocolate is melted, dip the energy bar into it until fully coated.
5. Place the chocolate-covered energy bar on a plate and let it cool in the fridge for a few minutes.
6. Enjoy your quick and easy chocolate-covered energy bar!","1. Check if there is a microwave available in the kitchen to melt the dark chocolate tablet.
2. If there is no microwave, use a saucepan on the stove to melt the dark chocolate tablet.
3. While melting the chocolate, prepare the energy bar by unwrapping it and getting it ready for dipping.
4. Once the dark chocolate is melted, dip the energy bar into it until fully coated.
5. Place the chocolate-covered energy bar on a plate and let it cool in the fridge for a few minutes.
6. Enjoy your quick and easy chocolate-covered energy bar!",0,use dark chocolate for coating do not use almond milk or oat milk,A) Check if there is a microwave available in the kitchen,"A) check if there is a microwave available in the kitchen
B) take out the dark chocolate tablet from the pantry
C) decide whether to use almond milk or oat milk for melting with dark chocolate"
292,"chair, spatula, bread knife, paring knife, butter knife, cutting board, mixed fruit jam, eggs, ginger biscuits, chocolate teacakes, crackers, cookies, digestive biscuits, black tea bags, green tea bags","a chair, a spatula, a bread knife, a paring knife, a butter knife, a cutting board, mixed fruit jam, eggs, ginger biscuits, chocolate teacakes, crackers, cookies, digestive biscuits, black tea bags, green tea bags","Spread a layer of mixed fruit jam on top of two ginger biscuits using the butter knife, and place them on a plate on the kitchen table.","Robot, please take the butter knife and spread some mixed fruit jam on two ginger biscuits. Then, place them on a plate on the kitchen table. Thank you!",common_sense_knowledge,,"Spread a layer of mixed fruit jam on top of two ginger biscuits using the butter knife, and place them on a plate.",Where should the robot place the plate of ginger biscuits after spreading jam on them?,On the kitchen table.,"1. Spread a layer of mixed fruit jam on top of two ginger biscuits using the butter knife.
2. Place the jam-covered ginger biscuits on a plate on the kitchen table.
3. Boil water in the tea kettle for black tea.
4. Prepare black tea using a black tea bag and pour it into a mug.
5. Enjoy my snack and tea at the kitchen table while taking a break from work.","1. Spread a layer of mixed fruit jam on top of two ginger biscuits using the butter knife.
2. Place the jam-covered ginger biscuits on a plate.",1,place the item on the kitchen table,"A) pick up the spatula
B) pick up the bread knife","A) place the plate of ginger biscuits on the kitchen table
B) place the plate of ginger biscuits on a tray"
268,"corkscrew, vegetable peeler, potato masher, jalapeno chips, rice chips, glass milk bottle, oat milk bottle","a corkscrew, a vegetable peeler, a potato masher, jalapeno chips, rice chips, a glass milk bottle, an oat milk bottle","Open the glass milk bottle, pour a glass of milk, and place it on the kitchen table.","Robot, please open the glass milk bottle, pour a glass of milk, and place it on the kitchen table.",preferences," glass milk bottle, oat milk bottle","Open the milk bottle, pour a glass of milk, and place it on the kitchen table.",Which type of milk should be poured into the glass?,The one from the oat milk bottle.,"1. Open the glass milk bottle
2. Pour a glass of milk
3. Place the glass of milk on the kitchen table
4. Check if there are any dirty dishes in the dishwasher and start a wash cycle if needed
5. Fill the tea kettle with water and turn it on to boil for tea or coffee
6. Check if there are any leftovers in the fridge that need to be heated up in the microwave or oven 
7. Clean any spills or messes on the kitchen table or countertops 
8. Organize and tidy up any items that are out of place in the kitchen 
9. Take out any trash or recycling that needs to be disposed of 
10. Enjoy a break with a cup of tea or coffee and some snacks from the pantry","1. Open the milk bottle
2. Pour a glass of milk
3. Place the glass of milk on the kitchen table
4. Check if there are any dirty dishes in the dishwasher and start a wash cycle if needed
5. Fill the tea kettle with water and turn it on to boil for tea or coffee
6. Check if there are any leftovers in the fridge that need to be heated up in the microwave or oven 
7. Clean any spills or messes on the kitchen table or countertops 
8. Organize and tidy up any items that are out of place in the kitchen 
9. Take out any trash or recycling that needs to be disposed of 
10. Enjoy a break with a cup of tea or coffee and some snacks from the pantry",0,use the oat milk from the bottle,"A) open the glass milk bottle
B) open the oat milk bottle","A) pour oat milk into the glass
B) pour regular milk into the glass"
253,"metal bowl, plastic bowl, ceramic bowl, citrus juicer, pineapple, banana, lemon, apple, pear, melon, muesli, cornflakes","a metal bowl, a plastic bowl, a ceramic bowl, a citrus juicer, a pineapple, a banana, a lemon, an apple, a pear, a melon, muesli, cornflakes","Cut the pineapple into slices, and then place the slices in the ceramic bowl.","Robot, please slice the pineapple and place the pieces in the ceramic bowl.",preferences,"metal bowl, plastic bowl, ceramic bowl","Cut the pineapple into slices, and then place the slices in a bowl.",Which bowl should I use to place the pineapple slices in?,Use the ceramic bowl to place the pineapple slices in.,"1. Cut the pineapple into slices
2. Place the slices in the ceramic bowl
3. Wash and cut the lemon into wedges
4. Prepare a pitcher of lemon water with the lemon wedges
5. Put any leftover pineapple slices in a container for later use","1. Cut the pineapple into slices
2. Place the slices in the bowl
3. Wash and cut the lemon into wedges
4. Prepare a pitcher of lemon water with the lemon wedges
5. Put any leftover pineapple slices in a container for later use",1,place the pineapple slices in the ceramic bowl,"A) place the lemon slices in the metal bowl
B) place the lemon slices in the plastic bowl
C) place the lemon slices in the ceramic bowl","A) use the metal bowl to place the pineapple slices in
B) use the plastic bowl to place the pineapple slices in
C) use the ceramic bowl to place the pineapple slices in"
369,"stainless steel tablespoon, wooden tablespoon, silver teaspoon, paper towels, bacon, ham, granulated sugar, table salt, sea salt, muesli, cornflakes, coconut oil, olive oil, sunflower oil, blackberries, raspberries, bleuberries","a stainless steel tablespoon, a wooden tablespoon, a silver teaspoon, paper towels, bacon, ham, granulated sugar, table salt, sea salt, muesli, cornflakes, coconut oil, olive oil, sunflower oil, blackberries, raspberries, bleuberries","Please, use the stainless steel tablespoon to transfer the blackberries, the raspberries, and the blueberries from their respective containers to a small bowl. Then, use the wooden tablespoon to mix the berries together.","Robot, please use the metal spoon to transfer the blackberries, raspberries, and blueberries from their containers to a small bowl. After that, use the wooden spoon to mix them together.",preferences,,"Please, use a tablespoon to transfer the berries from their containers to a bowl. Then, mix them together.",Which type of tablespoon should be used to transfer the berries?,Use the stainless steel tablespoon.,"1. Use the stainless steel tablespoon to transfer the blackberries from their container to a small bowl.
2. Use the stainless steel tablespoon to transfer the raspberries from their container to the same small bowl.
3. Use the stainless steel tablespoon to transfer the blueberries from their container to the same small bowl.
4. Use the wooden tablespoon to mix all three types of berries together in the small bowl.","1. Use a tablespoon to transfer the blackberries from their container to a bowl.
2. Use a tablespoon to transfer the raspberries from their container to the same bowl.
3. Use a tablespoon to transfer the blueberries from their container to the same bowl.
4. Mix all three types of berries together in the bowl.",0,use the stainless steel tablespoon for this task,"A) use the stainless steel tablespoon
B) use the wooden tablespoon
C) use the silver teaspoon","A) use the stainless steel tablespoon to transfer the blackberries from their container to a bowl
B) use the wooden tablespoon to transfer the blackberries from their container to a bowl"
462,"spatula, plastic food storage container, glass food storage container, paper towels, black seedless grapes, green seedless grapes, bottle of white wine, bottle opener","a spatula, a plastic food storage container, a glass food storage container, paper towels, black seedless grapes, green seedless grapes, a bottle of white wine, a bottle opener","Prepare a refreshing grape salad by gently mixing black and green seedless grapes in a plastic food storage container. Use a spatula to toss them together evenly. Serve the grape salad chilled in the glass food storage container. Open a bottle of white wine using the bottle opener and pour a glass to accompany the salad. After serving, use paper towels to wipe any spills and maintain a clean kitchen environment.","Robot, please create a delicious grape salad by gently mixing together the black and green seedless grapes in the plastic food storage container. Use the spatula to toss them evenly. Serve the salad chilled in the glass food storage container. Open the white wine bottle with the bottle opener and pour a glass to enjoy with your meal. Remember to clean up any spills using paper towels to keep our kitchen tidy. Thank you!",preferences,"black seedless grapes, green seedless grapes",Prepare a refreshing grape salad by gently mixing seedless grapes in a plastic food storage container.,What type of grapes should be used for the salad?,Black and green seedless grapes.,"1. Gather the black and green seedless grapes, plastic food storage container, glass food storage container, spatula, paper towels, bottle of white wine, and bottle opener.
2. Wash the grapes under running water and remove any stems or spoiled grapes.
3. Place the washed grapes in the plastic food storage container.
4. Gently mix the black and green seedless grapes together using a spatula.
5. Transfer the mixed grape salad into the glass food storage container for serving.
6. Open a bottle of white wine using the bottle opener and pour a glass to accompany the salad.
7. Use paper towels to wipe any spills or messes on kitchen surfaces.
8. Enjoy your refreshing grape salad with a glass of white wine!","1. Gather the seedless grapes, plastic food storage container, glass food storage container, spatula, paper towels, bottle of white wine, and bottle opener.
2. Wash the grapes under running water and remove any stems or spoiled grapes.
3. Place the washed grapes in the plastic food storage container.
4. Gently mix the seedless grapes together using a spatula.
5. Transfer the mixed grape salad into the glass food storage container for serving.
6. Open a bottle of white wine using the bottle opener and pour a glass to accompany the salad.
7. Use paper towels to wipe any spills or messes on kitchen surfaces.
8. Enjoy your refreshing grape salad with a glass of white wine!",0,please retrieve black and green seedless grapes,"A) gather the seedless grapes
B) gather the plastic food storage container
C) gather the glass food storage container
D) gather the spatula
E) gather the paper towels
F) gather the bottle of white wine
G) gather the bottle opener","A) use the black seedless grapes for the salad
B) use the green seedless grapes for the salad"
72,"dish rack, clean sponge, dirty sponge, dish soap, glass milk bottle, oat milk bottle, rice chips, jalapeno chips, potato chips, granulated sugar, sea salt, milk chocolate tablet, dark chocolate tablet, almond milk chocolate tablet","a dish rack, a clean sponge, a dirty sponge, a dish soap, a glass milk bottle, an oat milk bottle, rice chips, jalapeno chips, potato chips, granulated sugar, sea salt, a milk chocolate tablet, a dark chocolate tablet, an almond milk chocolate tablet","Kitchen Robot, please use the dish soap and the clean sponge to wash and dry the dishes in the sink. Then, use the dish rack to neatly organize the clean dishes.","Robot, please utilize the dish soap and the fresh sponge to cleanse and dry the dishes in the sink. Afterwards, arrange the spotless dishes neatly using the dish rack.",common_sense_knowledge,,"Kitchen Robot, please clean the dishes in the sink and organize them neatly on the dish rack.",Which items should I use to clean the dishes?,Use the dish soap and the clean sponge.,"1. Use the dish soap and clean sponge to wash the dishes in the sink.
2. Rinse off the soap from the dishes with water.
3. Dry off the dishes with a clean towel.
4. Neatly organize the clean dishes on the dish rack.","1. Use the dish soap and clean sponge to wash the dishes in the sink.
2. Rinse off the soap from the dishes with water.
3. Dry off the dishes with a clean towel.
4. Neatly organize the clean dishes on the dish rack.",0,use the dish soap and a clean sponge to wash the dishes,A) Use the dish soap and clean sponge to wash the dishes in the sink.,"A) use the dish soap and clean sponge to wash the dishes in the sink
B) use the dirty sponge to wash the dishes in the sink"
186,"metal bowl, plastic bowl, ceramic bowl, garlic press, frying pan, grill pan, sauce pan, garlic, cucumber, potato, carrot, tomato, sunflower oil, olive oil, canned olives","a metal bowl, a plastic bowl, a ceramic bowl, a garlic press, a frying pan, a grill pan, a sauce pan, a garlic, a cucumber, a potato, a carrot, a tomato, sunflower oil, olive oil, canned olives","Robot, please use the garlic press to crush two cloves of garlic. Heat up the frying pan on the stove and add two tablespoons of olive oil. Add the crushed garlic to the pan and sauté until fragrant. Meanwhile, peel and chop the potato and carrot into small cubes. Add the cubed vegetables to the pan and stir to combine with the garlic. Cook until the vegetables are tender, then add a can of olives and a diced tomato. Stir to combine and cook for another 2-3 minutes. Serve the vegetable and olive sauté in a ceramic bowl.","Kitchen robot, please crush two cloves of garlic using the garlic press. Heat up the frying pan on the stove and add two tablespoons of olive oil. Add the crushed garlic to the pan and sauté until it becomes aromatic. In the meantime, peel and chop the potato and carrot into small cubes. Add these diced vegetables to the pan with the garlic and stir them together. Cook until they are soft, then mix in a can of olives and a chopped tomato. Stir everything together and cook for an additional 2-3 minutes. Finally, serve the vegetable and olive sauté in a ceramic bowl.",common_sense_knowledge,,"Robot, please use the garlic press to crush two cloves of garlic. Heat up the frying pan on the stove and add two tablespoons of olive oil. Add the crushed garlic to the pan and sauté until fragrant. Meanwhile, peel and chop the potato and carrot into small cubes. Add the cubed vegetables to the pan and stir to combine with the garlic. Cook until the vegetables are tender, then add a can of olives and a diced tomato. Stir to combine and cook for another 2-3 minutes. Serve the vegetable and olive sauté in a ceramic bowl.",Which type of bowl should I use to serve the vegetable and olive sauté?,Use ceramic bowl,"1. Use the garlic press to crush two cloves of garlic.
2. Heat up the frying pan on the stove and add two tablespoons of olive oil.
3. Add the crushed garlic to the pan and sauté until fragrant.
4. Peel and chop the potato and carrot into small cubes.
5. Add the cubed vegetables to the pan and stir to combine with the garlic.
6. Cook until the vegetables are tender.
7. Add a can of olives and a diced tomato to the pan.
8. Stir to combine and cook for another 2-3 minutes.
9. Serve the vegetable and olive sauté in a ceramic bowl.

Please let me know if you need any further assistance or clarification!","1. Use the garlic press to crush two cloves of garlic.
2. Heat up the frying pan on the stove and add two tablespoons of olive oil.
3. Add the crushed garlic to the pan and sauté until fragrant.
4. Peel and chop the potato and carrot into small cubes.
5. Add the cubed vegetables to the pan and stir to combine with the garlic.
6. Cook until the vegetables are tender.
7. Add a can of olives and a diced tomato to the pan.
8. Stir to combine and cook for another 2-3 minutes.
9. Serve the vegetable and olive sauté in a ceramic bowl.

If you need any further assistance or clarification, please let me know!",10,use a ceramic bowl for mixing the ingredients,Thank you for the information. I will keep that in mind.,"A) use the metal bowl to serve the vegetable and olive sauté
B) use the plastic bowl to serve the vegetable and olive sauté
C) use the ceramic bowl to serve the vegetable and olive sauté"
114,"whisk, clean sponge, dirty sponge, dish soap, shears, cream cheese, fresh mozarella package, cheddar cheese slices, mozarella sticks, honey, tomato, black pepper, cucumber, garlic, carrot, potato, bell pepper","a whisk, a clean sponge, a dirty sponge, a dish soap, shears, cream cheese, a fresh mozarella package, cheddar cheese slices, mozarella sticks, honey, a tomato, a black pepper, a cucumber, a garlic, a carrot, a potato, a bell pepper","Kitchen Robot, please whisk together cream cheese and honey in a bowl to make a sweet cream cheese dip.","Robot, please mix together the cream cheese and honey in a bowl to create a sweet cream cheese dip.",common_sense_knowledge,,"Kitchen Robot, please mix together cream cheese and honey in a bowl to make a sweet cream cheese dip.",Which tool should I use to mix the cream cheese and honey together?,You should use the whisk.,"1. Gather the cream cheese and honey from the fridge.
2. Take out a bowl from the kitchen cabinet.
3. Measure out the desired amount of cream cheese and honey into the bowl.
4. Use the whisk to mix together the cream cheese and honey until smooth and well combined.
5. Serve the sweet cream cheese dip in a clean dish for dipping with crackers or fruit slices.

Let me know if you need any further assistance!","1. Gather the cream cheese and honey from the fridge.
2. Take out a bowl from the kitchen cabinet.
3. Measure out the desired amount of cream cheese and honey into the bowl.
4. Use the whisk to mix together the cream cheese and honey until smooth and well combined.
5. Serve the sweet cream cheese dip in a clean dish for dipping with crackers or fruit slices.",0,use the whisk to mix the ingredients,"A) pick up the cream cheese from the fridge
B) pick up the honey from the fridge","A) use the whisk to mix the cream cheese and honey together
B) use a spoon to mix the cream cheese and honey together"
76,"grater, garlic press, ladle, glass milk bottle, oat milk bottle, honey, canned olives, dark chocolate tablet, milk chocolate tablet, almond milk chocolate tablet, sunflower oil, olive oil","a grater, a garlic press, a ladle, a glass milk bottle, an oat milk bottle, honey, canned olives, a dark chocolate tablet, a milk chocolate tablet, an almond milk chocolate tablet, sunflower oil, olive oil","Kitchen Robot, please use the grater to grate some dark chocolate onto a plate, then drizzle some honey and olive oil over the top. Serve as a dessert topping.","Dear kitchen assistant, please grate some dark chocolate using the grater onto a plate. After that, drizzle honey and olive oil over the grated chocolate. Serve this mixture as a dessert topping. Thank you!",preferences,,"Kitchen Robot, please use the grater to grate some dark chocolate onto a plate, then drizzle some honey and olive oil over the top. Serve as a dessert topping.",Which type of oil should be used for drizzling over the grated dark chocolate?,Olive oil.,"1. Retrieve the grater from the kitchen drawer.
2. Grate some dark chocolate onto a plate.
3. Drizzle honey over the grated chocolate.
4. Drizzle olive oil over the honey and chocolate mixture.
5. Serve as a dessert topping on a separate plate or dish.","1. Retrieve the grater from the kitchen drawer.
2. Grate some dark chocolate onto a plate.
3. Drizzle honey over the grated chocolate.
4. Drizzle olive oil over the honey and chocolate mixture.
5. Serve as a dessert topping on a separate plate or dish.",0,use olive oil in the recipe,A) pick up the grater from the kitchen drawer,"A) use sunflower oil for drizzling over the grated dark chocolate
B) use olive oil for drizzling over the grated dark chocolate"
414,"oven mitts, potholder, kitchen towel, clean sponge, dirty sponge, dish soap, blender, mixer, crackers, ginger biscuits, chocolate teacakes, mixed fruit jam, condensed milk, eggs, honey, muesli, cornflakes","oven mitts, a potholder, a kitchen towel, a clean sponge, a dirty sponge, a dish soap, a blender, a mixer, crackers, ginger biscuits, chocolate teacakes, mixed fruit jam, condensed milk, eggs, honey, muesli, cornflakes","After breakfast, clean the kitchen surfaces with a kitchen towel and soapy water.","Robot, please use the kitchen towel and soapy water to clean the kitchen surfaces after breakfast.",common_sense_knowledge,,Clean the kitchen surfaces.,What should be used to clean the kitchen surfaces?,A kitchen towel and soapy water.,"1. Start by putting away any leftover food in the fridge.
2. Wash any dirty dishes and utensils in the sink with dish soap and the clean sponge.
3. Wipe down the kitchen table with a damp kitchen towel.
4. Use the oven mitts to remove any hot items from the oven or microwave.
5. Clean any spills or messes on the stove or countertops with soapy water and a kitchen towel.
6. Put away any dry ingredients like crackers, biscuits, muesli, cornflakes, etc., back into their respective containers.
7. Lastly, make sure to empty and clean out the dishwasher if it's full of dirty dishes.

After completing these tasks, you can enjoy a well-organized and clean office kitchen!","1. Start by putting away any leftover food in the fridge.
2. Wash any dirty dishes and utensils in the sink with dish soap and the clean sponge.
3. Wipe down the kitchen table with a damp kitchen towel.
4. Use the oven mitts to remove any hot items from the oven or microwave.
5. Clean any spills or messes on the stove or countertops with soapy water and a kitchen towel.
6. Put away any dry ingredients like crackers, biscuits, muesli, cornflakes, etc., back into their respective containers.
7. Lastly, make sure to empty and clean out the dishwasher if it's full of dirty dishes.

After completing these tasks, you can enjoy a well-organized and clean office kitchen!",0,use a kitchen towel and soapy water to clean the surface,"A) Put away the crackers in the fridge
B) Put away the ginger biscuits in the fridge
C) Put away the chocolate teacakes in the fridge","A) use a clean sponge and dish soap to clean the kitchen surfaces
B) use a kitchen towel to wipe down the kitchen surfaces"
174,"ladle, corkscrew, canned olives, sliced whole wheat bread, uncut white bread","a ladle, a corkscrew, canned olives, sliced whole wheat bread, uncut white bread","Robot, please use the corkscrew to open a bottle of white wine. Then, use the ladle to scoop out a serving of canned olives and place them on a slice of whole wheat bread. Serve the olives and bread with a glass of white wine.","Kitchen robot, please utilize the corkscrew to uncork a bottle of white wine. Then, take the ladle to scoop out a portion of canned olives and place them on a slice of whole grain bread. Present the olives and bread alongside a glass of white wine.",preferences,"sliced whole wheat bread, uncut white bread","Robot, please use the corkscrew to open a bottle of white wine. Then, use the ladle to scoop out a serving of canned olives and place them on a slice of whole wheat bread. Serve the olives and bread with a glass of white wine.",Which type of bread should be used for serving the olives?,Use the sliced whole wheat bread,"1. Use the corkscrew to open a bottle of white wine.
2. Use the ladle to scoop out a serving of canned olives.
3. Place the olives on a slice of whole wheat bread.
4. Serve the olives and bread with a glass of white wine.","1. Use the corkscrew to open a bottle of white wine.
2. Use the ladle to scoop out a serving of canned olives.
3. Place the olives on a slice of whole wheat bread.
4. Serve the olives and bread with a glass of white wine.",0,use the sliced whole wheat bread for making sandwiches,A) use the corkscrew to open a bottle of white wine,"A) use the sliced whole wheat bread for serving the olives
B) use the uncut white bread for serving the olives"
485,"ladle, paper towels, plastic food storage container, glass food storage container, mixed fruit jam, condensed milk, blackberries, bleuberries, raspberries, strawberries, cherries, greek yogurt cup, strawberry yogurt cup, coconut donut, maple bar","a ladle, paper towels, a plastic food storage container, a glass food storage container, mixed fruit jam, condensed milk, blackberries, bleuberries, raspberries, strawberries, cherries, a greek yogurt cup, a strawberry yogurt cup, a coconut donut, a maple bar",Turn on the microwave to warm up the maple bar for 15 seconds.,"Robot, please heat up the maple bar in the microwave for 15 seconds.",common_sense_knowledge,,Warm up the maple bar in the kitchen.,Which appliance in the kitchen is typically used to heat up food quickly?,The microwave.,"1. Turn on the microwave to warm up the maple bar for 15 seconds.
2. Wash the ladle in the sink.
3. Put away any leftover food in the plastic and glass food storage containers.
4. Clean up any spills with paper towels.
5. Put away any dishes in the dishwasher that need to be washed.
6. Enjoy my warm maple bar as a snack!","1. Warm up the maple bar in the kitchen.
2. Wash the ladle in the sink.
3. Put away any leftover food in the plastic and glass food storage containers.
4. Clean up any spills with paper towels.
5. Put away any dishes in the dishwasher that need to be washed.
6. Enjoy my warm maple bar as a snack!",0,use the microwave,A) Place the maple bar in the microwave and heat it up.,"A) use the microwave to warm up the maple bar in the kitchen
B) use the oven to warm up the maple bar in the kitchen"
170,"bottle opener, porcelain cup, beer mug, ceramic mug, glass mug, plastic cup, paper cup, glass, coffee machine, sea salt, table salt, muesli, cornflakes, honey, potato chips, jalapeno chips, rice chips, fresh mozarella package, cottage cheese","a bottle opener, a porcelain cup, a beer mug, a ceramic mug, a glass mug, a plastic cup, a paper cup, a glass, a coffee machine, sea salt, table salt, muesli, cornflakes, honey, potato chips, jalapeno chips, rice chips, a fresh mozarella package, cottage cheese","Robot, please use the coffee machine to make a cup of black coffee. ","Hey kitchen robot, can you brew a cup of black coffee using the coffee machine?",preferences," porcelain cup, beer mug, ceramic mug, glass mug, plastic cup, paper cup, glass","Robot, please use the coffee machine to make a cup of black coffee.",Which type of cup should I use to make the black coffee?,Use the porcelain cup for making hot beverages.,"1. Fill the coffee machine with water.
2. Add coffee grounds to the filter basket.
3. Place a cup under the spout.
4. Press the button to start brewing the coffee.
5. Wait for the coffee to finish brewing.
6. Remove the cup of black coffee from the machine and serve it on the kitchen table for someone to enjoy.","1. Fill the coffee machine with water.
2. Add coffee grounds to the filter basket.
3. Place a cup under the spout.
4. Press the button to start brewing the coffee.
5. Wait for the coffee to finish brewing.
6. Remove the cup of black coffee from the machine and serve it on a tray for someone to enjoy.",5,when making hot beverages please use the porcelain cup,"A) remove the cup of black coffee from the machine
B) serve the black coffee on a tray","A) use the porcelain cup to make the black coffee
B) use the ceramic mug to make the black coffee
C) use the glass mug to make the black coffee"
211,"potholder, bread knife, paring knife, butter knife, cutting board, blender, dark chocolate tablet, milk chocolate tablet, jalapeno chips, rice chips, muesli, cornflakes, bottled milk","a potholder, a bread knife, a paring knife, a butter knife, a cutting board, a blender, a dark chocolate tablet, a milk chocolate tablet, jalapeno chips, rice chips, muesli, cornflakes, a bottled milk","Robot, please use the paring knife and cutting board to chop the dark chocolate tablet into small pieces, and then use the blender to blend the chopped chocolate with a cup of hot milk to create a rich chocolate drink.","Kitchen robot, please chop the dark chocolate tablet into small pieces using the small knife and cutting surface, then blend the chopped chocolate with a cup of hot milk in the electric mixer to make a delicious chocolate drink.",preferences,"heat up, do not heat up","Robot, please use the paring knife and cutting board to chop the dark chocolate tablet into small pieces, and then use the blender to blend the chopped chocolate with a cup of hot milk to create a rich chocolate drink.",Should I heat up the milk before blending it with the chopped chocolate?,"Yes, please heat up a cup of milk before blending it with the chopped chocolate.","1. Use the paring knife and cutting board to chop the dark chocolate tablet into small pieces.
2. Place the chopped chocolate into the blender.
3. Pour a cup of hot milk into the blender with the chopped chocolate.
4. Blend the mixture until smooth and creamy.
5. Pour the rich chocolate drink into a mug and enjoy!","1. Use the paring knife and cutting board to chop the dark chocolate tablet into small pieces.
2. Place the chopped chocolate into the blender.
3. Pour a cup of hot milk into the blender with the chopped chocolate.
4. Blend the mixture until smooth and creamy.
5. Pour the rich chocolate drink into a mug and enjoy!",0,heat up a cup of milk before blending it with the chopped chocolate,A) Use the paring knife and cutting board to chop the dark chocolate tablet into small pieces.,"A) use the paring knife and cutting board to chop the dark chocolate tablet into small pieces
B) heat up the milk before blending it with the chopped chocolate"
9,"soup pot, stockpot, oven mitts, table salt, granulated sugar, sea salt, black tea bags, green tea bags, honey, bottle of white wine, bottle of red wine","a soup pot, a stockpot, oven mitts, table salt, granulated sugar, sea salt, black tea bags, green tea bags, honey, a bottle of white wine, a bottle of red wine","Kitchen Robot, please fill the soup pot with water and place it on the stove to make a soup.","Robot, please fill the pot with water and place it on the stove in the kitchen to make a soup.",common_sense_knowledge,"soup pot, stockpot","Kitchen Robot, please fill the pot with water and place it on the stove to make a soup.",Which pot should be filled with water and placed on the stove?,The soup pot.,"1. Fill the soup pot with water
2. Place the soup pot on the stove
3. Turn on the stove to start heating up the water
4. Gather ingredients for the soup (vegetables, broth, seasonings)
5. Chop and prepare vegetables for the soup
6. Add vegetables and broth to the pot once water is boiling
7. Season soup to taste with salt, pepper, herbs, etc.
8. Let simmer on low heat until vegetables are cooked through
9. Serve hot and enjoy!","1. Fill the pot with water
2. Place the pot on the stove
3. Turn on the stove to start heating up the water
4. Gather ingredients for the soup (vegetables, broth, seasonings)
5. Chop and prepare vegetables for the soup
6. Add vegetables and broth to the pot once water is boiling
7. Season soup to taste with salt, pepper, herbs, etc.
8. Let simmer on low heat until vegetables are cooked through
9. Serve hot and enjoy!",0,place the soup pot on the stove,"A) Fill the soup pot with water
B) Fill the stockpot with water","A) fill the soup pot with water and place it on the stove
B) fill the stockpot with water and place it on the stove"
